# names value +error -error
         amp_pow -1.29591e+01 3.86704e-03 3.84437e-03
       slope_pow -8.80584e-01 9.45821e-04 9.60341e-04
               N 2.18409e+01 7.50395e-03 7.39721e-03
           sigma 4.92821e+01 4.37020e+01 8.96982e+01
               z 2.29421e+00 6.98759e-04 6.90175e-04
             ebv 6.37330e-03 2.70415e-05 2.79877e-05
               f 4.16000e-01 0.00000e+00 0.00000e+00
     lambda_zero 1.21567e+03 0.00000e+00 0.00000e+00
           gamma 6.26500e+08 0.00000e+00 0.00000e+00
 resolution_fwhm 3.00000e+01 0.00000e+00 0.00000e+00
